candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
FR,21,31,16,13,19,,,pt2,left
FRo,12,40,15,12,21,,,pt2,left
RG,15,31,21,15,18,,,pt2,left
MT,5,36,17,12,30,,,pt2,left
JLM,12,27,20,38,3,,,pt2,left
FH,7,32,28,24,9,,,pt2,left
EP,4,30,26,32,8,,,pt2,left
OF,5,28,21,17,29,,,pt2,left
MB,8,20,13,19,40,,,pt2,left
GA,3,25,27,34,11,,,pt2,left
BV,4,22,13,12,49,,,pt2,left
YBP,4,18,19,28,31,,,pt2,left
XB,2,18,34,29,17,,,pt2,left
EB,4,15,28,45,8,,,pt2,left
AB,3,13,16,33,35,,,pt2,left
SL,1,15,20,32,32,,,pt2,left
GD,4,10,25,54,7,,,pt2,left
MBa,3,11,38,29,19,,,pt2,left
EL,2,12,15,18,53,,,pt2,left
VP,2,12,24,51,11,,,pt2,left
BR,4,9,16,47,24,,,pt2,left
RD,4,9,28,47,12,,,pt2,left
MV,2,11,26,49,12,,,pt2,left
JB,3,8,7,77,5,,,pt2,left
GL,1,10,21,42,26,,,pt2,left
CV,2,8,21,27,42,,,pt2,left
NS,2,8,15,67,8,,,pt2,left
MLP,2,8,10,76,4,,,pt2,left
SK,3,6,7,30,54,,,pt2,left
LW,1,8,22,48,21,,,pt2,left
EC,2,2,16,65,15,,,pt2,left
EZ,1,2,5,89,3,,,pt2,left
