candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
MLP,45,45,5,1,4,,,pt2,farright
JB,49,35,8,3,5,,,pt2,farright
BR,19,27,13,16,25,,,pt2,farright
EC,15,30,15,21,19,,,pt2,farright
EZ,19,22,19,33,7,,,pt2,farright
NS,8,26,26,33,7,,,pt2,farright
GD,7,25,22,31,15,,,pt2,farright
SK,16,11,10,28,35,,,pt2,farright
EP,5,20,28,34,13,,,pt2,farright
LW,2,20,28,29,21,,,pt2,farright
MBa,2,20,28,32,18,,,pt2,farright
RD,3,18,24,42,13,,,pt2,farright
GA,3,17,29,38,13,,,pt2,farright
SL,2,15,20,27,36,,,pt2,farright
FRo,4,12,21,42,21,,,pt2,farright
XB,2,13,22,41,22,,,pt2,farright
FH,3,10,24,55,8,,,pt2,farright
VP,1,12,30,42,15,,,pt2,farright
MV,3,9,26,50,12,,,pt2,farright
FR,2,10,19,40,29,,,pt2,farright
GL,3,8,26,35,28,,,pt2,farright
EB,2,9,23,54,12,,,pt2,farright
YBP,1,9,21,35,34,,,pt2,farright
RG,3,6,15,46,30,,,pt2,farright
AB,2,6,18,38,36,,,pt2,farright
JLM,3,3,10,79,5,,,pt2,farright
CV,2,4,23,32,39,,,pt2,farright
OF,1,4,23,40,32,,,pt2,farright
MB,1,4,17,46,32,,,pt2,farright
MT,0,5,16,47,32,,,pt2,farright
BV,1,3,15,35,46,,,pt2,farright
EL,1,3,21,37,38,,,pt2,farright
