candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
EP,14,59,11,4,12,,,pt2,macron
GA,17,53,16,4,10,,,pt2,macron
GD,12,50,16,7,15,,,pt2,macron
MBa,7,44,23,3,23,,,pt2,macron
EB,6,45,26,11,12,,,pt2,macron
BR,13,36,15,10,26,,,pt2,macron
RG,8,39,16,17,20,,,pt2,macron
XB,5,41,21,12,21,,,pt2,macron
YBP,7,36,11,9,37,,,pt2,macron
MV,4,37,26,21,12,,,pt2,macron
RD,7,32,28,15,18,,,pt2,macron
GL,4,35,21,11,29,,,pt2,macron
SL,5,32,13,7,43,,,pt2,macron
VP,4,32,29,17,18,,,pt2,macron
FH,3,33,28,24,12,,,pt2,macron
FRo,4,31,22,20,23,,,pt2,macron
NS,6,27,32,25,10,,,pt2,macron
AB,3,26,16,12,43,,,pt2,macron
EL,8,19,9,14,50,,,pt2,macron
JB,5,21,17,50,7,,,pt2,macron
OF,3,23,23,18,33,,,pt2,macron
CV,4,21,14,10,51,,,pt2,macron
LW,2,23,28,19,28,,,pt2,macron
FR,5,18,25,18,34,,,pt2,macron
MLP,5,17,17,52,9,,,pt2,macron
MT,3,13,15,32,37,,,pt2,macron
EC,4,11,22,50,13,,,pt2,macron
MB,3,11,11,38,37,,,pt2,macron
BV,2,12,14,18,54,,,pt2,macron
SK,4,9,11,27,49,,,pt2,macron
JLM,3,8,9,73,7,,,pt2,macron
EZ,2,7,12,71,8,,,pt2,macron
