candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
EP,6,33,20,22,19,,,pt2,all
MLP,13,23,12,39,13,,,pt2,all
JB,14,21,12,39,14,,,pt2,all
GA,6,27,24,24,19,,,pt2,all
BR,10,22,14,21,33,,,pt2,all
GD,5,25,19,30,21,,,pt2,all
RG,6,20,16,24,34,,,pt2,all
FRo,5,21,18,23,33,,,pt2,all
MBa,3,23,24,21,29,,,pt2,all
FH,3,22,26,32,17,,,pt2,all
FR,7,17,18,23,35,,,pt2,all
NS,5,18,22,40,15,,,pt2,all
XB,2,21,23,25,29,,,pt2,all
RD,4,18,24,32,22,,,pt2,all
EB,3,18,25,36,18,,,pt2,all
YBP,3,16,15,21,45,,,pt2,all
VP,3,16,25,34,22,,,pt2,all
GL,3,15,20,26,36,,,pt2,all
EC,5,12,17,41,25,,,pt2,all
SL,2,15,17,22,44,,,pt2,all
OF,2,15,19,23,41,,,pt2,all
MV,2,15,23,39,21,,,pt2,all
MT,2,14,15,27,42,,,pt2,all
LW,1,15,23,29,32,,,pt2,all
JLM,5,10,13,59,13,,,pt2,all
EZ,5,10,12,60,13,,,pt2,all
AB,2,12,15,26,45,,,pt2,all
SK,6,7,9,25,53,,,pt2,all
MB,3,10,13,31,43,,,pt2,all
EL,3,8,14,22,53,,,pt2,all
CV,2,9,18,21,50,,,pt2,all
BV,2,8,12,21,57,,,pt2,all
