candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
JB,17,17,19,12,32,3,,pt1,all
MLP,19,15,17,12,34,3,,pt1,all
BR,9,19,33,16,20,3,,pt1,all
EP,6,22,30,17,22,3,,pt1,all
GD,6,20,30,18,23,3,,pt1,all
GA,6,19,27,19,26,3,,pt1,all
MM,6,17,21,15,38,3,,pt1,all
FH,4,15,26,23,30,2,,pt1,all
RG,4,14,38,20,21,3,,pt1,all
FR,6,12,35,22,22,3,,pt1,all
JC,2,14,34,24,24,2,,pt1,all
EZ,4,12,15,16,50,3,,pt1,all
BC,3,12,39,23,20,3,,pt1,all
XB,2,13,37,23,22,3,,pt1,all
BLM,2,12,35,22,26,3,,pt1,all
JLM,5,8,14,17,53,3,,pt1,all
FRo,3,10,38,23,23,3,,pt1,all
MBa,2,11,38,25,21,3,,pt1,all
EC,2,11,29,22,33,3,,pt1,all
OF,1,12,40,23,21,3,,pt1,all
LW,3,9,34,26,25,3,,pt1,all
YBP,1,9,43,21,24,2,,pt1,all
MT,3,7,37,22,28,3,,pt1,all
FB,2,8,29,28,30,3,,pt1,all
DL,1,7,47,22,20,3,,pt1,all
