candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
GA,25,52,14,3,6,,,pt2,macron
EP,24,53,11,5,7,,,pt2,macron
MB,16,49,17,4,14,,,pt2,macron
BC,11,48,17,4,20,,,pt2,macron
GD,9,49,23,8,11,,,pt2,macron
FB,6,49,14,5,26,,,pt2,macron
FB,5,50,20,10,15,,,pt2,macron
JYLD,13,41,13,4,29,,,pt2,macron
SL,8,44,11,6,31,,,pt2,macron
XB,5,45,23,8,19,,,pt2,macron
YBP,8,41,9,5,37,,,pt2,macron
RG,8,40,15,11,26,,,pt2,macron
RD,5,41,28,16,10,,,pt2,macron
BR,7,37,20,13,23,,,pt2,macron
GL,7,33,22,12,26,,,pt2,macron
NS,4,32,31,22,11,,,pt2,macron
LW,5,28,33,12,22,,,pt2,macron
FH,4,26,37,23,10,,,pt2,macron
FRo,2,26,26,19,27,,,pt2,macron
FR,4,23,26,20,27,,,pt2,macron
VP,1,26,40,17,16,,,pt2,macron
CV,3,22,15,12,48,,,pt2,macron
OF,1,20,30,17,32,,,pt2,macron
DL,1,18,13,7,61,,,pt2,macron
AH,4,14,33,36,13,,,pt2,macron
MT,3,14,27,23,33,,,pt2,macron
JB,2,12,20,57,9,,,pt2,macron
MM,4,8,21,63,4,,,pt2,macron
LSM,3,9,9,4,75,,,pt2,macron
EC,3,6,22,56,13,,,pt2,macron
MLP,3,6,19,67,5,,,pt2,macron
JPT,2,7,10,20,61,,,pt2,macron
EZ,3,5,8,79,5,,,pt2,macron
JLM,2,1,10,82,5,,,pt2,macron
