candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
EP,6,24,18,16,36,,,pt2,abstentionists
GA,3,27,21,18,31,,,pt2,abstentionists
JB,7,20,12,29,32,,,pt2,abstentionists
NS,6,18,20,27,29,,,pt2,abstentionists
FH,3,21,25,22,29,,,pt2,abstentionists
MLP,6,17,18,31,28,,,pt2,abstentionists
MB,5,17,16,17,45,,,pt2,abstentionists
GD,3,16,19,22,40,,,pt2,abstentionists
RD,2,16,19,28,35,,,pt2,abstentionists
FRo,2,15,16,15,52,,,pt2,abstentionists
FB,1,15,22,18,44,,,pt2,abstentionists
BR,5,10,14,16,55,,,pt2,abstentionists
JYLD,3,12,11,11,63,,,pt2,abstentionists
FBa,3,12,14,12,59,,,pt2,abstentionists
LW,3,12,19,18,48,,,pt2,abstentionists
MM,3,12,18,32,35,,,pt2,abstentionists
JLM,5,9,18,43,25,,,pt2,abstentionists
FR,3,11,17,14,55,,,pt2,abstentionists
EC,3,11,13,29,44,,,pt2,abstentionists
BC,2,12,21,14,51,,,pt2,abstentionists
XB,2,12,22,15,49,,,pt2,abstentionists
GL,3,9,16,12,60,,,pt2,abstentionists
RG,2,10,16,16,56,,,pt2,abstentionists
SL,2,9,14,13,62,,,pt2,abstentionists
VP,1,10,23,27,39,,,pt2,abstentionists
YBP,3,7,11,16,63,,,pt2,abstentionists
AH,2,8,27,31,32,,,pt2,abstentionists
EZ,2,8,13,53,24,,,pt2,abstentionists
OF,1,9,18,13,59,,,pt2,abstentionists
MT,2,7,17,17,57,,,pt2,abstentionists
CV,2,6,15,11,66,,,pt2,abstentionists
LSM,3,4,10,12,71,,,pt2,abstentionists
DL,2,5,9,11,73,,,pt2,abstentionists
JPT,1,4,10,14,71,,,pt2,abstentionists
