candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
EP,8,33,20,20,19,,,pt2,all
GA,7,30,22,24,17,,,pt2,all
JB,14,21,12,38,15,,,pt2,all
MB,7,27,20,20,26,,,pt2,all
MLP,13,19,14,41,13,,,pt2,all
NS,5,24,23,32,16,,,pt2,all
FB,3,26,24,21,26,,,pt2,all
GD,5,23,23,28,21,,,pt2,all
BC,4,24,22,18,32,,,pt2,all
FH,4,24,27,29,16,,,pt2,all
JYLD,5,22,15,15,43,,,pt2,all
RG,5,22,18,20,35,,,pt2,all
BR,7,19,16,22,36,,,pt2,all
FBo,4,22,18,17,39,,,pt2,all
FRo,4,22,19,21,34,,,pt2,all
FR,6,19,20,20,35,,,pt2,all
RD,4,21,24,31,20,,,pt2,all
XB,3,22,24,21,30,,,pt2,all
MM,7,17,16,43,17,,,pt2,all
SL,4,18,16,17,45,,,pt2,all
GL,5,16,21,21,37,,,pt2,all
YBP,4,17,15,18,46,,,pt2,all
LW,4,17,25,25,29,,,pt2,all
EC,5,13,17,40,25,,,pt2,all
OF,2,16,21,20,41,,,pt2,all
MT,5,11,19,24,41,,,pt2,all
JLM,5,11,14,57,13,,,pt2,all
VP,2,14,28,33,23,,,pt2,all
AH,3,12,26,41,18,,,pt2,all
EZ,4,10,13,60,13,,,pt2,all
CV,2,10,16,18,54,,,pt2,all
JPT,4,7,11,19,59,,,pt2,all
DL,3,8,13,14,62,,,pt2,all
LSM,2,5,10,15,68,,,pt2,all
