candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
DV,7,40,37,13,2,1,0,pt3,all
MBa,5,41,37,12,4,1,0,pt3,all
EP,8,37,35,16,3,1,0,pt3,all
GA,7,38,34,19,2,0,0,pt3,all
FR,7,36,34,12,7,4,0,pt3,all
JC,5,38,37,15,3,2,0,pt3,all
SRo,5,37,37,19,1,1,0,pt3,all
FH,6,36,35,23,0,0,0,pt3,all
BR,9,32,30,21,4,4,0,pt3,all
GD,6,35,35,21,2,1,0,pt3,all
BC,4,37,38,14,4,3,0,pt3,all
JB,13,28,27,31,1,0,0,pt3,all
NS,8,32,33,26,1,0,0,pt3,all
SL,3,36,34,14,9,4,0,pt3,all
XB,4,35,39,13,6,3,0,pt3,all
FRo,4,35,37,12,8,4,0,pt3,all
LW,3,36,37,19,3,2,0,pt3,all
RD,6,32,36,23,2,1,0,pt3,all
RG,7,31,30,15,11,6,0,pt3,all
RM,8,29,35,17,6,5,0,pt3,all
MM,8,29,32,27,2,2,0,pt3,all
BLM,3,33,39,19,4,2,0,pt3,all
MLP,13,23,28,36,0,0,0,pt3,all
GL,4,31,39,17,6,3,0,pt3,all
CE,3,32,36,19,7,3,0,pt3,all
YJ,4,31,35,13,11,6,0,pt3,all
YBP,4,31,31,14,12,8,0,pt3,all
OF,4,30,37,12,11,6,0,pt3,all
EC,6,28,36,24,3,3,0,pt3,all
HM,2,32,37,7,14,8,0,pt3,all
VP,4,29,39,24,3,1,0,pt3,all
CV,3,30,39,10,11,7,0,pt3,all
EM,6,27,31,36,0,0,0,pt3,all
EB,4,29,38,27,1,1,0,pt3,all
SR,4,28,32,24,8,4,0,pt3,all
MV,4,28,40,24,1,3,0,pt3,all
MT,7,25,30,16,12,10,0,pt3,all
AH,4,28,39,26,1,2,0,pt3,all
AB,2,30,38,13,11,6,0,pt3,all
FXB,3,28,39,11,11,8,0,pt3,all
APR,2,29,36,14,11,8,0,pt3,all
JNB,3,28,36,11,14,8,0,pt3,all
MB,4,26,33,19,11,7,0,pt3,all
CA,4,26,35,14,12,9,0,pt3,all
FB,4,26,44,24,1,1,0,pt3,all
SK,7,21,32,16,12,12,0,pt3,all
EL,4,24,34,10,18,10,0,pt3,all
RH,5,22,32,21,12,8,0,pt3,all
MP,5,22,30,26,11,6,0,pt3,all
JLM,7,20,29,43,1,0,0,pt3,all
