candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
JB,18,15,17,12,35,3,,pt1,all
MLP,18,15,15,12,37,3,,pt1,all
MM,9,15,21,15,38,2,,pt1,all
EP,5,17,29,20,26,3,,pt1,all
BR,5,15,32,18,28,2,,pt1,all
GA,4,15,30,23,26,2,,pt1,all
GD,4,15,29,20,29,3,,pt1,all
RG,6,12,33,21,25,3,,pt1,all
EZ,6,11,15,14,51,3,,pt1,all
EC,3,13,25,18,38,3,,pt1,all
FR,4,11,37,21,24,3,,pt1,all
OF,1,13,37,21,25,3,,pt1,all
BC,2,12,36,23,24,3,,pt1,all
DV,4,10,31,25,27,3,,pt1,all
FH,3,11,26,23,34,3,,pt1,all
FRo,2,11,36,24,24,3,,pt1,all
XB,2,11,36,23,25,3,,pt1,all
JC,1,12,32,27,26,2,,pt1,all
MT,3,9,36,19,30,3,,pt1,all
JLM,3,9,15,15,55,3,,pt1,all
YBP,2,9,40,20,26,3,,pt1,all
MBa,2,9,34,26,26,3,,pt1,all
LW,2,9,30,24,32,3,,pt1,all
DL,2,7,44,19,25,3,,pt1,all
CA,1,8,37,23,28,3,,pt1,all
BLM,2,6,27,26,36,3,,pt1,all
FB,1,6,21,27,42,3,,pt1,all
