candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
FR,21,31,14,16,18,,,pt2,left
FRo,11,39,16,18,16,,,pt2,left
FH,8,38,32,14,8,,,pt2,left
RG,12,30,23,16,19,,,pt2,left
OF,5,37,18,17,23,,,pt2,left
MT,14,27,15,19,25,,,pt2,left
JLM,14,24,29,30,3,,,pt2,left
DV,7,31,20,26,16,,,pt2,left
EP,5,25,24,37,9,,,pt2,left
GA,3,24,27,41,5,,,pt2,left
BV,4,21,12,21,42,,,pt2,left
XB,3,19,34,30,14,,,pt2,left
MBa,4,16,29,33,18,,,pt2,left
GD,3,15,27,50,5,,,pt2,left
RD,2,16,23,49,10,,,pt2,left
BR,5,10,21,51,13,,,pt2,left
YBP,2,13,28,29,28,,,pt2,left
LW,2,13,21,51,13,,,pt2,left
EB,3,11,29,50,7,,,pt2,left
GL,2,12,25,41,20,,,pt2,left
MV,2,12,26,52,8,,,pt2,left
EL,2,10,24,25,39,,,pt2,left
SL,1,11,23,30,35,,,pt2,left
VP,2,8,25,54,11,,,pt2,left
JB,2,8,13,73,4,,,pt2,left
EC,3,6,15,68,8,,,pt2,left
NS,2,7,23,63,5,,,pt2,left
MLP,2,6,15,75,2,,,pt2,left
MM,2,5,12,76,5,,,pt2,left
EZ,2,1,8,87,2,,,pt2,left
