candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
GA,21,56,11,4,8,,,pt2,macron
EP,22,51,12,7,8,,,pt2,macron
GD,9,56,13,11,11,,,pt2,macron
MBa,6,46,22,10,16,,,pt2,macron
BR,12,37,15,17,19,,,pt2,macron
EB,4,43,28,16,9,,,pt2,macron
RG,9,34,17,13,27,,,pt2,macron
XB,5,36,26,12,21,,,pt2,macron
YBP,8,31,12,10,39,,,pt2,macron
DV,6,33,25,13,23,,,pt2,macron
RD,5,33,29,22,11,,,pt2,macron
SL,9,27,11,11,42,,,pt2,macron
FH,7,29,29,28,7,,,pt2,macron
VP,4,28,29,25,14,,,pt2,macron
FRo,3,27,26,20,24,,,pt2,macron
NS,4,25,28,33,10,,,pt2,macron
GL,5,23,25,17,30,,,pt2,macron
LW,2,24,25,31,18,,,pt2,macron
OF,2,23,24,20,31,,,pt2,macron
MV,1,24,34,28,13,,,pt2,macron
FR,3,21,23,25,28,,,pt2,macron
JB,3,16,18,57,6,,,pt2,macron
EL,3,14,16,17,50,,,pt2,macron
MM,3,13,16,62,6,,,pt2,macron
MLP,3,13,16,64,4,,,pt2,macron
EC,1,12,17,58,12,,,pt2,macron
MT,2,9,28,30,31,,,pt2,macron
BV,1,8,20,13,58,,,pt2,macron
EZ,0,7,14,76,3,,,pt2,macron
JLM,1,4,7,84,4,,,pt2,macron
