candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
MLP,54,38,2,0,6,,,pt2,farright
JB,59,32,4,1,4,,,pt2,farright
MM,32,40,11,7,10,,,pt2,farright
BR,24,32,11,13,20,,,pt2,farright
EC,16,37,16,15,16,,,pt2,farright
EZ,20,30,16,24,10,,,pt2,farright
NS,7,32,23,27,11,,,pt2,farright
GD,3,34,21,26,16,,,pt2,farright
LW,4,23,25,26,22,,,pt2,farright
RD,4,22,25,37,12,,,pt2,farright
EP,2,24,29,32,13,,,pt2,farright
GA,2,22,25,40,11,,,pt2,farright
MBa,0,22,25,28,25,,,pt2,farright
XB,1,18,25,34,22,,,pt2,farright
DV,2,14,21,39,24,,,pt2,farright
SL,0,16,16,31,37,,,pt2,farright
MV,0,15,18,52,15,,,pt2,farright
VP,0,15,31,40,14,,,pt2,farright
GL,1,13,22,34,30,,,pt2,farright
FRo,0,14,16,43,27,,,pt2,farright
FH,2,10,21,59,8,,,pt2,farright
FR,1,11,24,37,27,,,pt2,farright
YBP,1,9,22,31,37,,,pt2,farright
EB,0,9,17,62,12,,,pt2,farright
OF,0,8,21,46,25,,,pt2,farright
RG,0,5,22,48,25,,,pt2,farright
JLM,1,3,8,83,5,,,pt2,farright
BV,1,2,16,35,46,,,pt2,farright
EL,0,3,19,38,40,,,pt2,farright
MT,0,3,18,49,30,,,pt2,farright
