candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
EP,8,33,19,23,17,,,pt2,all
JB,17,20,13,39,11,,,pt2,all
GA,7,30,21,27,15,,,pt2,all
MLP,16,19,12,42,11,,,pt2,all
GD,4,31,20,28,17,,,pt2,all
BR,10,24,16,25,25,,,pt2,all
MM,9,20,14,42,15,,,pt2,all
FH,4,22,27,32,15,,,pt2,all
DV,3,23,20,23,31,,,pt2,all
MBa,3,23,24,22,28,,,pt2,all
FR,6,18,19,23,34,,,pt2,all
FRo,3,21,18,25,33,,,pt2,all
XB,3,21,23,24,29,,,pt2,all
RG,5,18,19,24,34,,,pt2,all
NS,4,19,24,39,14,,,pt2,all
RD,3,20,25,33,19,,,pt2,all
EC,5,17,17,40,21,,,pt2,all
LW,2,18,23,30,27,,,pt2,all
EB,2,18,23,41,16,,,pt2,all
OF,2,16,20,24,38,,,pt2,all
YBP,3,14,17,23,43,,,pt2,all
SL,2,15,15,22,46,,,pt2,all
GL,2,15,21,27,35,,,pt2,all
VP,2,15,26,36,21,,,pt2,all
EZ,5,11,13,59,12,,,pt2,all
MV,1,15,24,41,19,,,pt2,all
MT,4,11,18,28,39,,,pt2,all
JLM,4,9,15,62,10,,,pt2,all
BV,1,8,15,21,55,,,pt2,all
EL,1,7,18,23,51,,,pt2,all
