candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
EP,4,31,17,18,30,,,pt2,absentionists
JB,10,21,13,33,23,,,pt2,absentionists
GA,4,25,19,24,28,,,pt2,absentionists
MLP,9,18,15,37,21,,,pt2,absentionists
GD,2,22,20,25,31,,,pt2,absentionists
MM,4,19,14,35,28,,,pt2,absentionists
FH,3,19,24,27,27,,,pt2,absentionists
BR,3,18,17,21,41,,,pt2,absentionists
NS,2,16,21,38,23,,,pt2,absentionists
DV,1,17,13,18,51,,,pt2,absentionists
XB,3,14,13,23,47,,,pt2,absentionists
MBa,2,14,22,18,44,,,pt2,absentionists
EC,2,14,16,31,37,,,pt2,absentionists
FR,1,15,15,16,53,,,pt2,absentionists
LW,2,13,20,23,42,,,pt2,absentionists
EB,2,13,19,37,29,,,pt2,absentionists
RD,2,12,24,28,34,,,pt2,absentionists
GL,0,14,14,21,51,,,pt2,absentionists
RG,3,10,16,20,51,,,pt2,absentionists
MV,0,13,21,35,31,,,pt2,absentionists
SL,1,11,9,18,61,,,pt2,absentionists
FRo,1,11,14,21,53,,,pt2,absentionists
JLM,2,8,14,55,21,,,pt2,absentionists
YBP,1,9,9,21,60,,,pt2,absentionists
VP,1,8,25,32,34,,,pt2,absentionists
EZ,1,8,12,55,24,,,pt2,absentionists
MT,1,7,12,21,59,,,pt2,absentionists
OF,1,6,18,16,59,,,pt2,absentionists
EL,1,3,14,16,66,,,pt2,absentionists
BV,0,4,12,16,68,,,pt2,absentionists
