candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
JB,11,19,11,35,24,,,pt2,abstentionists
MLP,8,22,14,37,19,,,pt2,abstentionists
EP,5,25,21,20,29,,,pt2,abstentionists
FH,3,19,21,30,27,,,pt2,abstentionists
FR,6,14,12,20,48,,,pt2,abstentionists
BLM,2,17,18,24,39,,,pt2,abstentionists
RG,2,16,11,23,48,,,pt2,abstentionists
DV,2,16,14,23,45,,,pt2,abstentionists
FRo,2,15,13,18,46,,,pt2,abstentionists
NS,2,15,24,33,26,,,pt2,abstentionists
MM,3,13,14,40,30,,,pt2,abstentionists
EDM,2,14,17,35,32,,,pt2,abstentionists
FB,1,15,18,28,38,,,pt2,abstentionists
GD,2,13,21,32,32,,,pt2,abstentionists
RD,1,14,19,32,34,,,pt2,abstentionists
OF,1,13,15,21,52,,,pt2,abstentionists
XB,2,11,20,24,43,,,pt2,abstentionists
MT,2,10,12,25,51,,,pt2,abstentionists
LW,1,11,16,27,45,,,pt2,abstentionists
BC,3,8,15,25,49,,,pt2,abstentionists
EC,1,10,16,38,35,,,pt2,abstentionists
GL,0,11,15,24,50,,,pt2,abstentionists
LB,2,8,11,23,56,,,pt2,abstentionists
CA,1,9,17,22,51,,,pt2,abstentionists
YJ,0,10,18,22,50,,,pt2,abstentionists
SR,1,8,10,37,44,,,pt2,abstentionists
JLM,3,5,16,57,19,,,pt2,abstentionists
YBP,2,6,10,23,59,,,pt2,abstentionists
EZ,2,6,12,60,20,,,pt2,abstentionists
MB,1,7,12,29,51,,,pt2,abstentionists
AH,0,6,24,42,28,,,pt2,abstentionists
MP,1,4,10,31,54,,,pt2,abstentionists
AOC,0,5,11,34,50,,,pt2,abstentionists
