candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
JB,54,39,3,3,1,,,pt2,FR voters
MLP,46,41,8,3,3,,,pt2,FR voters
MM,27,37,17,12,7,,,pt2,FR voters
EC,15,41,18,16,10,,,pt2,FR voters
NS,10,32,27,25,6,,,pt2,FR voters
EZ,10,29,20,34,7,,,pt2,FR voters
EP,2,33,22,35,8,,,pt2,FR voters
GD,1,23,29,35,12,,,pt2,FR voters
RD,1,23,23,43,10,,,pt2,FR voters
LW,4,19,30,31,16,,,pt2,FR voters
FR,2,17,21,43,17,,,pt2,FR voters
GL,1,17,22,39,21,,,pt2,FR voters
DV,1,17,26,38,18,,,pt2,FR voters
BLM,1,13,28,46,12,,,pt2,FR voters
FRo,14,23,29,40,17,,,pt2,FR voters
FB,0,13,24,49,14,,,pt2,FR voters
FH,2,9,22,62,5,,,pt2,FR voters
BC,1,9,30,37,23,,,pt2,FR voters
RG,0,10,20,49,21,,,pt2,FR voters
YBP,0,9,23,38,30,,,pt2,FR voters
YJ,2,5,25,51,17,,,pt2,FR voters
OF,1,4,22,50,23,,,pt2,FR voters
LB,0,5,27,41,27,,,pt2,FR voters
AOC,0,5,16,58,21,,,pt2,FR voters
EDM,0,5,17,67,11,,,pt2,FR voters
AH,0,5,15,74,6,,,pt2,FR voters
MT,0,4,20,51,25,,,pt2,FR voters
MP,0,4,9,69,18,,,pt2,FR voters
SR,1,2,13,67,17,,,pt2,FR voters
MB,0,3,14,58,25,,,pt2,FR voters
JLM,0,3,7,88,2,,,pt2,FR voters
CA,0,2,16,57,25,,,pt2,FR voters
