candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
EP,6,40,33,14,4,3,0,pt3,all
DV,8,37,34,12,5,4,0,pt3,all
NS,9,34,32,24,1,0,0,pt3,all
GA,6,36,37,17,2,2,0,pt3,all
JB,14,28,25,30,1,2,0,pt3,all
SL,5,37,33,13,8,4,0,pt3,all
MLP,13,27,25,33,1,1,0,pt3,all
JC,4,36,41,12,5,2,0,pt3,all
FH,6,34,38,21,1,0,0,pt3,all
BR,8,31,32,19,5,5,0,pt3,all
BC,4,34,38,11,7,6,0,pt3,all
GD,4,34,37,19,3,3,0,pt3,all
MBa,4,33,42,13,4,4,0,pt3,all
MM,8,29,32,27,1,3,0,pt3,all
FR,5,31,35,12,8,9,0,pt3,all
XB,5,31,36,13,8,7,0,pt3,all
RD,5,31,40,20,1,3,0,pt3,all
SRo,6,30,39,18,4,3,0,pt3,all
RM,6,29,33,14,7,11,0,pt3,all
AH,4,31,34,26,3,2,0,pt3,all
BLM,5,30,35,19,7,4,0,pt3,all
VP,4,31,37,20,4,4,0,pt3,all
EB,3,31,34,28,2,2,0,pt3,all
FRo,2,32,38,12,7,9,0,pt3,all
EC,5,27,36,22,5,5,0,pt3,all
CE,3,29,35,17,7,9,0,pt3,all
YJ,3,29,38,11,6,13,0,pt3,all
LW,3,28,43,18,4,4,0,pt3,all
GL,3,28,39,16,5,9,0,pt3,all
RG,4,27,34,15,9,11,0,pt3,all
OF,4,27,39,12,7,11,0,pt3,all
MV,2,27,41,23,5,2,0,pt3,all
AB,2,27,37,12,10,12,0,pt3,all
SK,9,20,25,15,12,19,0,pt3,all
SR,3,26,33,25,6,7,0,pt3,all
HM,3,26,41,7,8,15,0,pt3,all
EM,5,24,31,39,1,0,0,pt3,all
JLM,8,20,27,44,1,0,0,pt3,all
FXB,5,23,40,10,8,14,0,pt3,all
MT,5,22,33,15,10,15,0,pt3,all
YBP,3,24,34,14,9,16,0,pt3,all
MB,5,22,34,16,9,14,0,pt3,all
JNB,2,25,36,9,10,18,0,pt3,all
RH,6,21,28,22,8,15,0,pt3,all
EL,1,25,33,12,13,16,0,pt3,all
CV,2,24,41,12,9,12,0,pt3,all
APR,2,24,37,12,9,16,0,pt3,all
CA,3,22,35,13,8,19,0,pt3,all
MP,6,19,29,24,8,14,0,pt3,all
FB,2,21,43,31,1,2,0,pt3,all
