candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
JB,15,17,16,10,37,5,,pt1,all
MLP,15,17,18,10,35,5,,pt1,all
EP,9,22,28,19,17,5,,pt1,all
GA,8,23,27,18,20,4,,pt1,all
RG,6,18,32,20,19,5,,pt1,all
GD,5,17,29,19,26,4,,pt1,all
FR,7,13,34,20,21,5,,pt1,all
OF,4,15,37,18,21,5,,pt1,all
BC,3,16,38,20,18,5,,pt1,all
XB,4,14,36,19,22,5,,pt1,all
BLM,3,15,34,19,24,5,,pt1,all
FRo,4,13,34,22,22,5,,pt1,all
MT,6,10,36,17,26,5,,pt1,all
JLM,5,11,14,14,51,5,,pt1,all
LW,4,12,34,21,25,5,,pt1,all
YBP,3,11,40,17,24,5,,pt1,all
FB,2,12,32,25,24,5,,pt1,all
EZ,4,9,17,13,53,5,,pt1,all
DL,2,8,48,17,21,5,,pt1,all
