candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
JB,50,32,4,8,6,,,pt2,farright
MLP,44,38,7,4,7,,,pt2,farright
BR,20,30,10,15,25,,,pt2,farright
EC,14,31,14,19,22,,,pt2,farright
EZ,16,26,15,32,11,,,pt2,farright
NDA,15,27,14,20,24,,,pt2,farright
NS,6,32,24,30,8,,,pt2,farright
GD,6,27,20,30,17,,,pt2,farright
SK,14,12,6,26,42,,,pt2,farright
EP,5,21,29,31,14,,,pt2,farright
RD,2,24,23,39,12,,,pt2,farright
GA,1,23,21,44,11,,,pt2,farright
LW,4,15,22,32,27,,,pt2,farright
SL,3,16,16,25,40,,,pt2,farright
DV,2,17,17,40,24,,,pt2,farright
GL,1,17,16,34,32,,,pt2,farright
DL,4,10,10,26,50,,,pt2,farright
XB,2,12,26,34,26,,,pt2,farright
YBP,0,11,17,31,41,,,pt2,farright
FR,1,9,23,35,32,,,pt2,farright
FH,1,9,25,56,9,,,pt2,farright
VP,0,10,25,45,20,,,pt2,farright
MV,0,10,27,50,13,,,pt2,farright
RG,1,8,20,38,33,,,pt2,farright
FRo,0,9,19,40,32,,,pt2,farright
OF,1,7,16,41,35,,,pt2,farright
EB,0,5,21,63,11,,,pt2,farright
EL,0,4,15,35,46,,,pt2,farright
MB,0,3,10,48,39,,,pt2,farright
JLM,0,3,6,83,8,,,pt2,farright
MT,0,2,11,52,35,,,pt2,farright
