candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
EP,3,30,17,16,34,,,pt2,absentionists
GA,4,25,19,20,32,,,pt2,absentionists
JB,7,20,15,31,27,,,pt2,absentionists
MLP,7,20,15,33,25,,,pt2,absentionists
BR,5,17,14,18,46,,,pt2,absentionists
GD,2,19,18,26,35,,,pt2,absentionists
RG,3,14,13,20,50,,,pt2,absentionists
FH,1,16,25,28,30,,,pt2,absentionists
XB,2,14,17,21,46,,,pt2,absentionists
NS,1,15,23,32,29,,,pt2,absentionists
DV,3,12,19,19,47,,,pt2,absentionists
FRo,1,14,18,17,50,,,pt2,absentionists
FR,3,11,16,14,56,,,pt2,absentionists
RD,1,13,21,27,38,,,pt2,absentionists
EC,3,10,14,32,41,,,pt2,absentionists
NDA,1,12,15,23,49,,,pt2,absentionists
JLM,2,10,12,52,24,,,pt2,absentionists
OF,1,11,14,18,56,,,pt2,absentionists
LW,1,11,17,23,48,,,pt2,absentionists
VP,1,11,25,27,36,,,pt2,absentionists
EB,2,9,28,30,31,,,pt2,absentionists
YBP,1,10,13,16,60,,,pt2,absentionists
GL,1,10,15,22,52,,,pt2,absentionists
SK,3,7,10,15,65,,,pt2,absentionists
MT,2,8,12,21,57,,,pt2,absentionists
MV,0,10,24,29,37,,,pt2,absentionists
EZ,1,8,17,51,23,,,pt2,absentionists
SL,0,9,15,15,61,,,pt2,absentionists
MB,1,7,14,21,57,,,pt2,absentionists
DL,2,5,8,15,70,,,pt2,absentionists
EL,2,5,13,20,60,,,pt2,absentionists
