candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
JB,19,14,14,11,39,3,,pt1,all
MLP,19,14,13,12,39,3,,pt1,all
EP,6,21,23,19,28,3,,pt1,all
BR,9,16,33,14,25,3,,pt1,all
GD,7,17,28,19,26,3,,pt1,all
GA,6,17,26,20,28,3,,pt1,all
MM,8,14,16,15,43,4,,pt1,all
RG,5,14,32,19,27,3,,pt1,all
FH,4,15,21,25,32,3,,pt1,all
EC,3,14,26,18,36,3,,pt1,all
FR,5,11,34,22,25,3,,pt1,all
BC,2,13,37,22,23,3,,pt1,all
FRo,3,12,34,22,26,3,,pt1,all
EZ,7,8,13,14,55,3,,pt1,all
DV,3,11,34,23,26,3,,pt1,all
XB,3,11,34,22,27,3,,pt1,all
JLM,5,9,12,15,56,3,,pt1,all
MBa,2,11,36,24,24,3,,pt1,all
JC,2,11,33,25,26,3,,pt1,all
BLM,2,11,29,25,30,3,,pt1,all
OF,2,10,38,22,25,3,,pt1,all
MT,4,8,34,20,31,3,,pt1,all
LW,2,8,30,27,30,3,,pt1,all
FB,2,8,24,26,37,3,,pt1,all
DL,2,7,45,19,24,3,,pt1,all
YBP,3,6,39,20,29,3,,pt1,all
