candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
DV,7,44,34,11,3,1,0,pt3,all
EP,8,42,33,13,3,1,0,pt3,all
MBa,4,42,38,10,5,1,0,pt3,all
GA,6,39,33,21,1,0,0,pt3,all
JB,14,29,27,28,2,0,0,pt3,all
SRo,5,38,40,15,2,0,0,pt3,all
FH,6,37,36,20,1,0,0,pt3,all
BR,9,33,32,17,7,2,0,pt3,all
FRo,4,37,38,10,9,2,0,pt3,all
NS,10,31,34,25,0,0,0,pt3,all
JC,4,37,42,14,3,0,0,pt3,all
RD,5,35,40,17,2,1,0,pt3,all
GD,5,35,36,21,3,0,0,pt3,all
FR,8,32,39,9,10,2,0,pt3,all
BC,4,36,41,13,5,1,0,pt3,all
XB,3,37,42,13,4,1,0,pt3,all
LW,4,35,41,16,3,1,0,pt3,all
MM,8,31,34,23,4,0,0,pt3,all
SL,3,35,40,10,9,3,0,pt3,all
MLP,13,25,29,32,1,0,0,pt3,all
RG,5,33,38,10,11,3,0,pt3,all
OF,3,34,40,9,11,3,0,pt3,all
FXB,4,33,39,10,3,11,0,pt3,all
BLM,5,32,43,16,1,3,0,pt3,all
GL,2,35,41,13,1,8,0,pt3,all
YJ,4,32,39,9,13,3,0,pt3,all
EC,5,31,34,24,5,1,0,pt3,all
VP,4,32,41,20,3,0,0,pt3,all
FB,3,32,41,21,3,0,0,pt3,all
RM,6,29,39,15,9,2,0,pt3,all
EB,4,31,38,24,3,0,0,pt3,all
SR,4,30,37,19,8,2,0,pt3,all
AB,2,32,38,12,11,5,0,pt3,all
MV,2,31,41,22,4,0,0,pt3,all
CA,4,29,33,13,16,5,0,pt3,all
AH,4,29,36,27,3,1,0,pt3,all
HM,2,30,40,9,15,4,0,pt3,all
MT,5,27,38,11,15,4,0,pt3,all
EM,6,26,34,34,0,0,0,pt3,all
CE,2,30,37,19,8,4,0,pt3,all
YBP,3,29,39,13,12,4,0,pt3,all
CV,2,30,40,9,15,4,0,pt3,all
APR,2,28,37,11,16,6,0,pt3,all
SK,5,24,35,14,15,7,0,pt3,all
JLM,8,21,30,40,1,0,0,pt3,all
JNB,2,27,40,9,17,5,0,pt3,all
MB,4,24,38,17,14,3,0,pt3,all
EL,2,24,37,10,22,5,0,pt3,all
DL,4,22,32,7,25,10,0,pt3,all
EZ,8,17,32,43,0,0,0,pt3,all
