candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
FR,20,30,20,9,21,,,pt2,left
FRo,9,37,18,11,25,,,pt2,left
RG,12,32,16,15,25,,,pt2,left
JLM,15,26,30,24,5,,,pt2,left
FH,3,35,34,18,10,,,pt2,left
MT,11,23,17,15,34,,,pt2,left
OF,7,27,25,12,29,,,pt2,left
EP,4,24,34,29,9,,,pt2,left
DV,7,20,25,25,23,,,pt2,left
GA,1,22,31,36,10,,,pt2,left
MBa,3,18,28,32,19,,,pt2,left
BC,3,17,24,29,27,,,pt2,left
XB,1,18,31,29,21,,,pt2,left
GD,0,17,23,49,11,,,pt2,left
RD,2,13,29,42,14,,,pt2,left
EB,1,14,27,50,8,,,pt2,left
SL,1,13,23,27,36,,,pt2,left
MLP,4,9,15,68,4,,,pt2,left
JB,3,10,10,72,5,,,pt2,left
BR,2,11,14,49,24,,,pt2,left
YBP,1,11,19,35,34,,,pt2,left
VP,0,12,37,41,10,,,pt2,left
GL,1,10,27,35,27,,,pt2,left
NDA,1,10,15,58,16,,,pt2,left
NS,2,8,23,62,5,,,pt2,left
FRe,1,9,20,21,49,,,pt2,left
LW,1,9,21,48,21,,,pt2,left
MV,0,10,21,54,15,,,pt2,left
EC,2,6,14,67,11,,,pt2,left
EZ,1,2,9,85,3,,,pt2,left
