candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
EP,5,32,15,19,29,,,pt2,absentionists
GA,7,26,16,22,29,,,pt2,absentionists
JB,10,20,12,33,25,,,pt2,absentionists
MLP,9,18,13,34,26,,,pt2,absentionists
FH,4,19,20,30,27,,,pt2,absentionists
GD,4,18,22,22,34,,,pt2,absentionists
MBa,2,19,23,20,36,,,pt2,absentionists
BR,5,14,13,20,48,,,pt2,absentionists
XB,3,15,17,27,38,,,pt2,absentionists
DV,3,13,20,23,41,,,pt2,absentionists
MV,3,13,21,33,30,,,pt2,absentionists
NS,3,13,21,38,25,,,pt2,absentionists
RD,1,15,20,31,33,,,pt2,absentionists
EB,4,11,25,35,25,,,pt2,absentionists
RG,3,12,17,21,47,,,pt2,absentionists
LW,3,12,18,25,42,,,pt2,absentionists
BC,2,13,19,21,45,,,pt2,absentionists
FRo,1,14,18,22,45,,,pt2,absentionists
SL,3,11,16,16,54,,,pt2,absentionists
GL,2,12,17,23,46,,,pt2,absentionists
FR,1,13,17,22,47,,,pt2,absentionists
YBP,4,9,15,17,55,,,pt2,absentionists
OF,3,10,17,21,49,,,pt2,absentionists
JLM,2,11,14,51,22,,,pt2,absentionists
EC,2,10,19,30,39,,,pt2,absentionists
NDA,1,11,16,28,44,,,pt2,absentionists
VP,2,9,23,34,32,,,pt2,absentionists
MT,2,8,13,22,55,,,pt2,absentionists
FRe,2,7,16,17,58,,,pt2,absentionists
EZ,1,8,12,54,25,,,pt2,absentionists
