candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
EP,25,53,12,4,6,,,pt2,macron
GA,19,56,15,3,7,,,pt2,macron
GD,13,51,17,6,13,,,pt2,macron
BC,8,51,15,5,21,,,pt2,macron
MBa,13,44,18,9,16,,,pt2,macron
EB,7,45,28,10,10,,,pt2,macron
BR,18,33,17,12,20,,,pt2,macron
RD,6,39,31,13,11,,,pt2,macron
XB,7,36,30,7,20,,,pt2,macron
SL,5,38,15,9,33,,,pt2,macron
YBP,7,33,13,11,36,,,pt2,macron
RG,8,31,22,18,21,,,pt2,macron
GL,7,31,25,15,22,,,pt2,macron
MV,7,29,27,23,14,,,pt2,macron
NS,11,24,28,25,12,,,pt2,macron
DV,5,29,31,13,22,,,pt2,macron
FH,6,24,30,31,9,,,pt2,macron
VP,7,22,34,23,14,,,pt2,macron
LW,7,21,30,24,18,,,pt2,macron
FRe,6,21,16,10,47,,,pt2,macron
FRo,2,24,29,19,26,,,pt2,macron
MLP,7,17,17,55,4,,,pt2,macron
OF,6,17,25,23,29,,,pt2,macron
JB,8,14,12,56,10,,,pt2,macron
FR,5,15,29,22,29,,,pt2,macron
EC,6,12,18,50,14,,,pt2,macron
NDA,3,15,22,46,14,,,pt2,macron
MT,2,15,20,26,37,,,pt2,macron
EZ,3,7,11,73,6,,,pt2,macron
JLM,6,3,6,77,8,,,pt2,macron
