candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
MLP,43,48,4,2,3,,,pt2,farright
JB,47,40,2,5,6,,,pt2,farright
EZ,16,33,21,23,7,,,pt2,farright
BR,17,27,14,16,26,,,pt2,farright
EC,11,32,21,21,15,,,pt2,farright
NDA,8,32,20,21,19,,,pt2,farright
NS,5,29,31,29,6,,,pt2,farright
EP,4,25,30,30,11,,,pt2,farright
GD,6,21,34,30,9,,,pt2,farright
MBa,1,24,30,27,18,,,pt2,farright
GA,3,21,27,40,9,,,pt2,farright
RD,2,22,25,41,10,,,pt2,farright
DV,3,17,25,35,20,,,pt2,farright
LW,1,19,29,35,16,,,pt2,farright
XB,1,16,27,35,21,,,pt2,farright
BC,0,17,34,30,19,,,pt2,farright
SL,2,14,24,27,33,,,pt2,farright
GL,1,14,23,34,28,,,pt2,farright
MV,1,12,25,55,7,,,pt2,farright
VP,1,11,25,51,12,,,pt2,farright
FH,2,9,32,52,5,,,pt2,farright
FRo,0,9,19,45,27,,,pt2,farright
EB,0,9,27,57,7,,,pt2,farright
FR,1,7,28,40,24,,,pt2,farright
YBP,0,8,20,32,40,,,pt2,farright
RG,1,6,23,42,28,,,pt2,farright
JLM,1,3,11,81,4,,,pt2,farright
FRe,0,4,16,29,51,,,pt2,farright
OF,0,4,21,43,32,,,pt2,farright
MT,0,2,18,45,35,,,pt2,farright
