candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
JB,18,17,15,12,35,3,,pt1,all
MLP,16,16,16,12,36,4,,pt1,all
BR,8,19,27,16,27,3,,pt1,all
EP,8,17,27,19,26,3,,pt1,all
GD,4,20,25,22,26,3,,pt1,all
GA,5,19,24,22,27,3,,pt1,all
MM,7,16,18,16,40,3,,pt1,all
RG,5,13,32,21,26,3,,pt1,all
FH,3,13,21,25,34,4,,pt1,all
BC,2,13,33,23,26,3,,pt1,all
DV,4,11,31,22,28,4,,pt1,all
FR,4,10,32,24,27,3,,pt1,all
EZ,5,9,14,13,55,4,,pt1,all
JLM,5,8,13,16,55,3,,pt1,all
OF,1,12,34,24,26,3,,pt1,all
XB,2,11,32,24,27,4,,pt1,all
EC,2,11,24,20,39,4,,pt1,all
FRo,3,9,32,25,28,3,,pt1,all
BLM,2,10,28,25,32,3,,pt1,all
JC,1,11,29,26,30,3,,pt1,all
LW,2,9,31,24,30,4,,pt1,all
YBP,2,8,36,20,30,4,,pt1,all
MT,2,8,32,21,33,4,,pt1,all
MBa,1,9,33,24,30,3,,pt1,all
DL,2,7,44,21,22,4,,pt1,all
FB,1,4,17,24,50,4,,pt1,all
