candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
EP,25,58,7,2,8,,,pt2,macron
GA,22,55,11,3,9,,,pt2,macron
GD,16,47,16,9,12,,,pt2,macron
MBa,5,48,23,5,19,,,pt2,macron
BR,14,38,19,12,17,,,pt2,macron
EB,5,46,26,14,9,,,pt2,macron
YBP,13,37,14,5,31,,,pt2,macron
XB,4,46,27,7,16,,,pt2,macron
RG,6,39,20,10,25,,,pt2,macron
SL,7,33,18,6,36,,,pt2,macron
FH,7,29,32,24,8,,,pt2,macron
VP,4,30,33,20,13,,,pt2,macron
NS,4,30,34,23,9,,,pt2,macron
GL,5,28,22,15,30,,,pt2,macron
LW,4,28,29,21,18,,,pt2,macron
FRo,4,25,29,20,22,,,pt2,macron
AdM,2,24,15,6,53,,,pt2,macron
FR,2,24,26,20,28,,,pt2,macron
EL,4,21,21,12,42,,,pt2,macron
OF,4,21,30,16,29,,,pt2,macron
CV,2,23,21,9,45,,,pt2,macron
JB,5,16,19,55,5,,,pt2,macron
MLP,3,18,15,60,4,,,pt2,macron
MT,5,12,22,28,33,,,pt2,macron
BV,3,13,22,10,52,,,pt2,macron
EC,3,13,23,48,13,,,pt2,macron
MM,3,13,18,58,8,,,pt2,macron
MP,3,10,17,41,29,,,pt2,macron
EZ,1,10,11,73,5,,,pt2,macron
JLM,5,5,13,73,4,,,pt2,macron
