candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
FRo,11,43,18,14,14,,,pt2,left
FR,18,33,20,15,14,,,pt2,left
RG,18,30,17,17,18,,,pt2,left
FH,9,38,27,17,9,,,pt2,left
JLM,15,23,25,32,5,,,pt2,left
MT,14,24,13,17,32,,,pt2,left
OF,7,30,21,16,26,,,pt2,left
EP,4,26,27,35,8,,,pt2,left
BV,5,21,13,17,44,,,pt2,left
GA,4,21,27,42,6,,,pt2,left
MP,7,16,14,30,33,,,pt2,left
MBa,3,16,30,33,18,,,pt2,left
MLP,6,11,8,73,2,,,pt2,left
GD,4,13,17,58,8,,,pt2,left
SL,3,13,19,29,36,,,pt2,left
XB,3,13,26,37,21,,,pt2,left
YBP,2,14,24,28,32,,,pt2,left
JB,5,9,11,71,4,,,pt2,left
GL,1,13,20,40,26,,,pt2,left
EB,1,13,29,51,6,,,pt2,left
BR,4,9,17,53,17,,,pt2,left
EL,2,11,20,22,45,,,pt2,left
NS,1,10,16,68,5,,,pt2,left
AdM,1,9,17,22,51,,,pt2,left
MM,3,6,9,77,5,,,pt2,left
VP,2,7,25,56,10,,,pt2,left
CV,0,9,20,27,44,,,pt2,left
EC,2,5,11,69,13,,,pt2,left
EZ,2,5,4,83,6,,,pt2,left
LW,1,4,23,54,18,,,pt2,left
