candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
JB,8,23,14,35,20,,,pt2,absentionists
EP,6,25,19,17,33,,,pt2,absentionists
GA,6,24,18,26,26,,,pt2,absentionists
MLP,8,20,15,37,20,,,pt2,absentionists
NS,4,17,23,32,24,,,pt2,absentionists
GD,2,19,21,26,32,,,pt2,absentionists
BR,3,17,12,23,45,,,pt2,absentionists
FH,2,17,26,27,28,,,pt2,absentionists
MM,4,14,19,35,28,,,pt2,absentionists
XB,2,13,19,23,43,,,pt2,absentionists
FR,4,10,15,21,50,,,pt2,absentionists
EC,3,11,19,28,39,,,pt2,absentionists
MBa,2,11,21,22,44,,,pt2,absentionists
LW,2,11,21,24,42,,,pt2,absentionists
FRo,1,12,17,20,50,,,pt2,absentionists
JLM,4,8,20,46,22,,,pt2,absentionists
SL,2,10,9,20,59,,,pt2,absentionists
RG,2,10,16,25,47,,,pt2,absentionists
YBP,1,11,10,19,59,,,pt2,absentionists
VP,2,9,26,32,31,,,pt2,absentionists
EB,1,10,24,35,30,,,pt2,absentionists
OF,2,8,13,23,54,,,pt2,absentionists
GL,1,9,15,24,51,,,pt2,absentionists
EZ,1,8,15,59,17,,,pt2,absentionists
AdM,2,5,10,20,63,,,pt2,absentionists
MP,2,5,12,26,55,,,pt2,absentionists
BV,2,4,10,19,65,,,pt2,absentionists
EL,2,4,16,19,59,,,pt2,absentionists
MT,2,4,16,21,57,,,pt2,absentionists
CV,1,4,12,21,62,,,pt2,absentionists
