candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
EP,9,32,19,22,18,,,pt2,all
JB,16,21,13,40,10,,,pt2,all
MLP,14,23,13,41,9,,,pt2,all
GA,8,28,20,29,15,,,pt2,all
BR,9,24,15,25,27,,,pt2,all
GD,7,25,21,29,18,,,pt2,all
MM,9,18,16,42,15,,,pt2,all
FH,4,22,27,32,15,,,pt2,all
RG,6,19,17,26,32,,,pt2,all
NS,4,21,24,37,14,,,pt2,all
MBa,3,22,23,22,30,,,pt2,all
FRo,4,20,20,24,32,,,pt2,all
XB,3,21,23,25,28,,,pt2,all
FR,6,16,21,24,33,,,pt2,all
EC,5,16,17,38,24,,,pt2,all
SL,4,17,15,21,43,,,pt2,all
YBP,4,16,15,22,43,,,pt2,all
EB,2,17,25,40,16,,,pt2,all
LW,2,16,25,30,27,,,pt2,all
OF,3,14,20,25,38,,,pt2,all
GL,2,15,19,28,36,,,pt2,all
VP,2,15,28,36,19,,,pt2,all
EZ,5,11,12,61,11,,,pt2,all
MT,5,10,16,29,40,,,pt2,all
JLM,5,10,17,57,11,,,pt2,all
BV,2,9,14,21,54,,,pt2,all
EL,2,9,18,22,49,,,pt2,all
MP,3,7,12,39,39,,,pt2,all
AdM,1,9,14,21,55,,,pt2,all
CV,1,9,18,22,50,,,pt2,all
